brand_name,url_string,category_name
"Conrad Hotels & Resorts",conradhotels3.hilton.com,Travel
"InterContinental Hotels & Resorts",intercontinental.com,Travel
"Marriott Hotels",www.marriott.com/marriott-hotels-resorts/travel.mi,Travel
"St. Regis Hotels & Resorts",starwoodhotels.com/stregis/index.html,Travel
"Swissotel Hotels & Resorts",www.swissotel.com/,Travel
"Days Inn",www.daysinn.com/,Travel
"Super 8",www.super8.com/,Travel
"Dorchester Collection",www.dorchestercollection.com/,Travel
"Dream Hotels",www.dreamhotels.com/,Travel
Radisson,www.radisson.com/,Travel
"Wyndham Hotels and Resorts",www.wyndham.com/,Travel
"Banyan Tree Hotels & Resorts",www.banyantree.com/,Travel
"Small Luxury Hotels of the World",www.slh.com/,Travel
Kempinski,www.kempinski.com/,Travel
"Sheraton Hotels & Resorts",starwoodhotels.com/sheraton/index.html,Travel
"Relais & Chateaux",relaischateaux.com,Travel
"Morgans Hotel Group",morganshotelgroup.com,Travel
"Le Meridien",starwoodhotels.com/lemeridien,Travel
"Park Hyatt",park.hyatt.com/en/parkhyatt.html,Travel
"Mandarin Oriental",mandarinoriental.com,Travel
"Autograph Collection",www.autograph-hotels.marriott.com/,Travel
"The Ritz-Carlton",ritzcarlton.com,Travel
"Shangri-La Hotels and Resorts",shangri-la.com,Travel
Belmond,www.belmond.com/,Travel
"Fairmont Hotels & Resorts",fairmont.com,Travel
"Hotel Indigo",www.ihg.com/hotelindigo/hotels/us/en/hd,Travel
"MGallery Collection",www.mgallery.com/gb/usa/index.shtml,Travel
"Pan Pacific Hotels & Resorts",www.panpacific.com/,Travel
"Four Seasons Hotels and Resorts",fourseasons.com,Travel
"The Peninsula Hotels",peninsula.com,Travel
"Viceroy Hotels and Resorts",www.viceroyhotelsandresorts.com/,Travel
"Grand Hyatt",www.grand.hyatt.com/en/grandhyatt.html,Travel
"The Luxury Collection Hotels & Resorts",www.starwoodhotels.com/luxury/index.html,Travel
"JW Marriott",jwmarriott.com,Travel
"Renaissance Hotels",renaissance-hotels.marriott.com/,Travel
"One&Only Resorts",www.oneandonlyresorts.com/,Travel
"Hyatt Regency",www.regency.hyatt.com/en/hyattregency.html,Travel
"Omni Hotels & Resorts",www.omnihotels.com/,Travel
"The Leading Hotels of the World",www.lhw.com/,Travel
element,www.starwoodhotels.com/element/index.html,Travel
"Oberoi Hotels & Resorts",www.oberoihotels.com/,Travel
Sofitel,sofitel.com,Travel
"Joie de Vivre",www.jdvhotels.com/,Travel
"Country Hearth Inns & Suites",www.countryhearth.com/,Travel
"W Hotels",www.whotels.com,Travel
"Hyatt Hotels",www.hyatthotels.hyatt.com/en/hyatthotels.html,Travel
"Hilton Hotels & Resorts",hilton.com,Travel
"Concorde Hotels & Resorts",www.concorde-hotels.com/en/,Travel
"Radisson Blu",www.radissonblu.com/,Travel
"Warwick International Hotels",www.warwickhotels.com/,Travel
"The Langham Hotels and Resorts",www.langhamhotels.com,Travel
"Pullman Hotels and Resorts",www.pullmanhotels.com/,Travel
"Raffles Hotels & Resorts",www.raffles.com/,Travel
"Kimpton Hotels & Restaurants",www.kimptonhotels.com/,Travel
"Rosewood Hotels & Resorts",rosewoodhotels.com,Travel
"Loews Hotels & Resorts",www.loewshotels.com/,Travel
Emirates,www.emirates.com/us/english/,Travel
Taj,www.tajhotels.com/Luxury/Index.html,Travel
"MGM Resorts",www.mgmresorts.com/,Travel
"Millennium Hotels and Resorts",www.millenniumhotels.com/,Travel
"Holiday Inn Express",www.hiexpress.com,Travel
"Preferred Hotels & Resorts",preferredhotelgroup.com,Travel
"Westin Hotels and Resorts",www.starwoodhotels.com/westin/index.html,Travel
"Vivanta by Taj Hotels & Resorts",www.vivantabytaj.com/,Travel
"Hampton Inn & Suites",hamptoninn3.hilton.com/en/index.html,Travel
"Four Points by Sheraton",www.starwoodhotels.com/fourpoints/index.html,Travel
"Steigenberger Hotels and Resorts",en.steigenberger.com/,Travel
"Howard Johnson",www.hojo.com/,Travel
"Holiday Inn",www.holidayinn.com,Travel
"Vagabond Inn",www.vagabondinn.com/,Travel
"Hyatt Place",www.place.hyatt.com/en/hyattplace.html,Travel
"Budget Host Inn",www.budgethost.com/,Travel
"Crowne Plaza",www.ihg.com/crowneplaza/hotels/us/en/reservation,Travel
Anantara,www.anantara.com/,Travel
"Courtyard by Marriott",www.marriott.com/courtyard/travel.mi,Travel
Clarion,www.clarionhotel.com/,Travel
Campanile,www.campanile.com/fr,Travel
Worldhotels,www.worldhotels.com/,Travel
"Okura Hotels & Resorts",www.okura.com/brand/ohr/,Travel
"Country Inns & Suites",www.countryinns.com/,Travel
"Dorint Hotels & Resorts",www.dorint.com/de/,Travel
"Comfort Suites",www.comfortsuites.com/,Travel
"H10 Hotels",www.h10hotels.com/es/index.html,Travel
"Knights Inn",www.knightsinn.com/,Travel
"Cambria Suites",www.cambriasuites.com/,Travel
"DoubleTree by Hilton",doubletree3.hilton.com/en/index.html,Travel
"Econo Lodge",www.econolodge.com/,Travel
Andaz,www.andaz.hyatt.com/en/andaz.html,Travel
"Nikko Hotels International",www.okura.com/brand/nhi/,Travel
"Hyatt Hotels Corporation",hyatt.com/hyatt/index.jsp,Travel
"Hilton Garden Inn",hiltongardeninn3.hilton.com/en/index.html,Travel
"Links of London",www.linksoflondon.com,"Watches & Jewelry"
"Jaquet Droz",www.jaquet-droz.com/,"Watches & Jewelry"
"Vacheron Constantin",vacheron-constantin.com,"Watches & Jewelry"
"Van Cleef & Arpels",vancleefarpels.com,"Watches & Jewelry"
"Officine Panerai",panerai.com,"Watches & Jewelry"
Breguet,www.breguet.com/,"Watches & Jewelry"
Tissot,www.tissot.ch/,"Watches & Jewelry"
Hamilton,www.hamiltonwatch.com/,"Watches & Jewelry"
Zenith,www.zenith-watches.com/,"Watches & Jewelry"
Fred,www.fred.com/,"Watches & Jewelry"
"BALL Watch",www.ballwatch.com/,"Watches & Jewelry"
"Marco Bicego",www.marcobicego.com/,"Watches & Jewelry"
Graff,www.graffdiamonds.com/,"Watches & Jewelry"
Corum,www.corum.ch/,"Watches & Jewelry"
"Bell & Ross",www.bellross.com/,"Watches & Jewelry"
Pequignet,www.pequignet.com/,"Watches & Jewelry"
Ebel,www.ebel.com/,"Watches & Jewelry"
Tudor,www.tudorwatch.com/,"Watches & Jewelry"
"De Grisogono",degrisogono.com/,"Watches & Jewelry"
Milus,www.milus.com/,"Watches & Jewelry"
"Georg Jensen",www.georgjensen.com/,"Watches & Jewelry"
Vestal,www.vestalwatch.com/,"Watches & Jewelry"
Citizen,www.citizenwatch.com/,"Watches & Jewelry"
Nixon,www.nixon.com/,"Watches & Jewelry"
H.Stern,hstern.net,"Watches & Jewelry"
Fossil,fossil.com,"Watches & Jewelry"
Hublot,hublot.com,"Watches & Jewelry"
"Franck Muller",www.franckmuller.com/,"Watches & Jewelry"
"Tiffany & Co.",tiffany.com,"Watches & Jewelry"
"Audemars Piguet",www.audemarspiguet.com,"Watches & Jewelry"
Omega,omegawatches.com,"Watches & Jewelry"
"De Beers",www.debeers.com/,"Watches & Jewelry"
Pandora,pandora.net,"Watches & Jewelry"
Movado,movado.com,"Watches & Jewelry"
Baccarat,baccarat.com,"Watches & Jewelry"
Breitling,www.breitling.com/,"Watches & Jewelry"
Swarovski,www.swarovski.com,"Watches & Jewelry"
Montblanc,montblanc.com,"Watches & Jewelry"
Victorinox,www.victorinox.com/,"Watches & Jewelry"
Cartier,cartier.com,"Watches & Jewelry"
"A. Lange & Sohne",www.alange-soehne.com/,"Watches & Jewelry"
"Baume et Mercier ",baume-et-mercier.com,"Watches & Jewelry"
Buccellati,www.buccellati.com/,"Watches & Jewelry"
Bulgari,bulgari.com,"Watches & Jewelry"
Chopard,chopard.com,"Watches & Jewelry"
"David Yurman",davidyurman.com,"Watches & Jewelry"
Faberge,www.faberge.com,"Watches & Jewelry"
"Harry Winston",harrywinston.com,"Watches & Jewelry"
"Hearts on Fire Diamonds",www.heartsonfire.com/,"Watches & Jewelry"
Ippolita,www.ippolita.com/,"Watches & Jewelry"
"IWC Schaffhausen",iwc.com,"Watches & Jewelry"
Jaeger-LeCoultre,jaeger-lecoultre.com,"Watches & Jewelry"
Longines,longines.com,"Watches & Jewelry"
"Manufacture Roger Dubuis S.A.",www.rogerdubuis.com/,"Watches & Jewelry"
Mikimoto,www.mikimotoamerica.com/,"Watches & Jewelry"
"Glashutte Original",www.glashuette-original.com/,"Watches & Jewelry"
"Patek Philippe",patek.com,"Watches & Jewelry"
Piaget,piaget.com,"Watches & Jewelry"
"Raymond Weil",raymond-weil.com,"Watches & Jewelry"
"Tag Heuer",tagheuer.com,"Watches & Jewelry"
Rolex,rolex.com,"Watches & Jewelry"
JeanRichard,www.jeanrichard.com/,"Watches & Jewelry"
"Frederique Constant",www.frederique-constant.com/,"Watches & Jewelry"
Shinola,www.shinola.com/,"Watches & Jewelry"
Qeelin,www.qeelin.com/,"Watches & Jewelry"
Mido,www.midowatch.com/,"Watches & Jewelry"
Girard-Perregaux,www.girard-perregaux.com/,"Watches & Jewelry"
Certina,www.certina.com/,"Watches & Jewelry"
Rado,www.rado.com/,"Watches & Jewelry"
Chaumet,www.chaumet.com/,"Watches & Jewelry"
"Ulysse Nardin",www.ulysse-nardin.ch/,"Watches & Jewelry"
"Parmigiani Fleurier",www.parmigiani.ch/,"Watches & Jewelry"
"Luk Fook",www.lukfook.com/,"Watches & Jewelry"
Trollbeads,www.trollbeads.com/,"Watches & Jewelry"
Blancpain,www.blancpain.com,"Watches & Jewelry"
"Maurice Lacroix",www.mauricelacroix.com/,"Watches & Jewelry"
Boodles,www.boodles.com/,"Watches & Jewelry"
Pomellato,www.pomellato.com/,"Watches & Jewelry"
"Olya Shikhova",olyashikhova.com/,"Watches & Jewelry"
Oris,www.oris.ch/,"Watches & Jewelry"
"Shamballa Jewels",www.shamballajewels.com/,"Watches & Jewelry"
Secret,www.secret.com/,"Personal Care"
Arrid,www.arrid.com,"Personal Care"
"The Healing Garden",www.healinggarden.com/,"Personal Care"
Pampers,www.pampers.com/,"Personal Care"
"Johnson's Baby",www.johnsonsbaby.com/,"Personal Care"
Coast,www.coastsoap.com/,"Personal Care"
Tampax,www.tampax.com/en-us/home.aspx,"Personal Care"
"U by Kotex",www.ubykotex.com/,"Personal Care"
"Sunstar Gum",www.gumbrand.com/,"Personal Care"
Calgon,www.takemeaway.com/,"Personal Care"
Safeguard,www.safeguardsoap.com/,"Personal Care"
"Degree / Rexona",www.degreedeodorant.com/en/women/,"Personal Care"
Unilever,www.makinglifebetter.com/,"Personal Care"
Schick,www.schick.com/,"Personal Care"
Reach,www.reachfloss.com/,"Personal Care"
Vaseline,www.vaseline.us/,"Personal Care"
Jergens,www.jergens.com/,"Personal Care"
